LOCATION,DATE,T_MAX,T_MIN,T_MEAN,WEEKDAY,IS_HOLIDAY,HOLIDAY_NAME,TOTAL_DEMAND,DEMAND_LAG1,DEMAND_LAG7
Bankstown,2010-01-01,28.8,22.1,25.09,5,1,New Year's Day,374464.94,,
Bankstown,2010-01-02,29.4,21.6,24.77,6,0,,384838.07,374464.94,
Bankstown,2010-01-03,21.5,17.9,19.43,7,0,,355195.18,384838.07,
Bankstown,2010-01-04,23.9,17.9,20.63,1,0,,395602.57,355195.18,
Bankstown,2010-01-05,27.7,15.4,22.66,2,0,,423735.03,395602.57,
Bankstown,2010-01-06,25.6,20.3,22.68,3,0,,433042.65,423735.03,
Bankstown,2010-01-07,23.6,20.5,21.88,4,0,,411208.68,433042.65,
Bankstown,2010-01-08,26.3,19.7,22.88,5,0,,428486.93,411208.68,374464.94
Bankstown,2010-01-09,36.3,18.3,27.42,6,0,,443638.09,428486.93,384838.07
Bankstown,2010-01-10,29.5,22.1,25.3,7,0,,436849.95,443638.09,355195.18
Bankstown,2010-01-11,26.4,21.7,23.7,1,0,,460042.56,436849.95,395602.57
Bankstown,2010-01-12,32.0,23.1,26.94,2,0,,515344.46,460042.56,423735.03
Bankstown,2010-01-13,27.1,19.0,23.47,3,0,,469035.36,515344.46,433042.65
Bankstown,2010-01-14,22.3,19.3,20.29,4,0,,422902.33,469035.36,411208.68
Bankstown,2010-01-15,25.0,19.7,22.05,5,0,,431459.14,422902.33,428486.93
Bankstown,2010-01-16,27.2,20.9,23.51,6,0,,401807.19,431459.14,443638.09
Bankstown,2010-01-17,26.6,17.3,21.99,7,0,,379940.96,401807.19,436849.95
Bankstown,2010-01-18,24.8,14.7,20.79,1,0,,409269.07,379940.96,460042.56
Bankstown,2010-01-19,25.3,14.5,19.55,2,0,,409301.24,409269.07,515344.46
Bankstown,2010-01-20,31.2,12.0,21.93,3,0,,430673.45,409301.24,469035.36
Bankstown,2010-01-21,31.0,17.4,23.66,4,0,,477981.66,430673.45,422902.33
Bankstown,2010-01-22,36.2,21.2,27.57,5,0,,515780.37,477981.66,431459.14
Bankstown,2010-01-23,41.1,21.2,28.21,6,0,,459807.02,515780.37,401807.19
Bankstown,2010-01-24,23.0,17.7,20.75,7,0,,387132.89,459807.02,379940.96
Bankstown,2010-01-25,27.7,19.2,23.47,1,0,,446616.84,387132.89,409269.07
Bankstown,2010-01-26,32.1,23.1,26.36,2,1,Australia Day,446158.6,446616.84,409301.24
Bankstown,2010-01-27,26.6,21.9,23.68,3,0,,459424.42,446158.6,430673.45
Bankstown,2010-01-28,27.1,20.5,23.16,4,0,,454777.78,459424.42,477981.66
Bankstown,2010-01-29,27.4,18.0,22.72,5,0,,451053.64,454777.78,515780.37
Bankstown,2010-01-30,26.8,20.5,23.29,6,0,,402708.56,451053.64,459807.02
Bankstown,2010-01-31,28.5,20.6,24.4,7,0,,405149.68,402708.56,387132.89
Bankstown,2010-02-01,29.2,19.6,24.27,1,0,,459123.53,405149.68,446616.84
Bankstown,2010-02-02,26.9,21.1,23.34,2,0,,438766.99,459123.53,446158.6
Bankstown,2010-02-03,28.0,21.3,23.63,3,0,,450692.37,438766.99,459424.42
Bankstown,2010-02-04,27.8,22.3,24.61,4,0,,457173.49,450692.37,454777.78
Bankstown,2010-02-05,28.4,21.2,24.53,5,0,,461532.69,457173.49,451053.64
Bankstown,2010-02-06,23.2,20.3,21.58,6,0,,396063.39,461532.69,402708.56
Bankstown,2010-02-07,25.4,20.1,22.33,7,0,,389075.07,396063.39,405149.68
Bankstown,2010-02-08,27.6,21.5,23.67,1,0,,456712.88,389075.07,459123.53
Bankstown,2010-02-09,28.5,21.5,24.47,2,0,,471293.44,456712.88,438766.99
Bankstown,2010-02-10,29.8,19.0,23.71,3,0,,481374.55,471293.44,450692.37
Bankstown,2010-02-11,30.3,19.4,24.91,4,0,,488352.24,481374.55,457173.49
Bankstown,2010-02-12,36.8,21.5,26.64,5,0,,493638.81,488352.24,461532.69
Bankstown,2010-02-13,26.2,21.4,22.94,6,0,,415736.28,493638.81,396063.39
Bankstown,2010-02-14,27.3,20.4,22.93,7,0,,404801.96,415736.28,389075.07
Bankstown,2010-02-15,32.8,20.1,23.76,1,0,,465283.65,404801.96,456712.88
Bankstown,2010-02-16,25.1,20.0,22.41,2,0,,432507.78,465283.65,471293.44
Bankstown,2010-02-17,24.5,17.4,21.41,3,0,,431481.17,432507.78,481374.55
Bankstown,2010-02-18,24.2,16.6,20.97,4,0,,425062.91,431481.17,488352.24
Bankstown,2010-02-19,25.2,16.8,21.1,5,0,,425385.37,425062.91,493638.81
Bankstown,2010-02-20,27.5,16.2,22.34,6,0,,406467.71,425385.37,415736.28
Bankstown,2010-02-21,32.9,18.3,25.52,7,0,,423069.77,406467.71,404801.96
Bankstown,2010-02-22,35.4,19.7,27.94,1,0,,502056.01,423069.77,465283.65
Bankstown,2010-02-23,28.3,21.1,23.63,2,0,,458876.76,502056.01,432507.78
Bankstown,2010-02-24,23.9,20.0,21.68,3,0,,426309.42,458876.76,431481.17
Bankstown,2010-02-25,25.1,14.6,20.34,4,0,,428259.21,426309.42,425062.91
Bankstown,2010-02-26,25.9,15.5,20.53,5,0,,426900.66,428259.21,425385.37
Bankstown,2010-02-27,29.1,15.2,22.12,6,0,,410506.19,426900.66,406467.71
Bankstown,2010-02-28,27.2,19.0,22.23,7,0,,394711.74,410506.19,423069.77
Bankstown,2010-03-01,20.5,16.7,18.59,1,0,,410918.35,394711.74,502056.01
Bankstown,2010-03-02,21.1,18.0,19.63,2,0,,409301.57,410918.35,458876.76
Bankstown,2010-03-03,23.0,14.9,19.37,3,0,,416317.9,409301.57,426309.42
Bankstown,2010-03-04,25.7,14.0,20.79,4,0,,425295.96,416317.9,428259.21
Bankstown,2010-03-05,25.0,20.9,22.29,5,0,,428912.82,425295.96,426900.66
Bankstown,2010-03-06,28.4,20.6,23.6,6,0,,411225.94,428912.82,410506.19
Bankstown,2010-03-07,26.9,21.2,24.29,7,0,,390677.31,411225.94,394711.74
Bankstown,2010-03-08,30.1,20.9,25.6,1,0,,445518.45,390677.31,410918.35
Bankstown,2010-03-09,29.2,17.8,23.9,2,0,,431406.09,445518.45,409301.57
Bankstown,2010-03-10,20.8,18.5,19.84,3,0,,415143.88,431406.09,416317.9
Bankstown,2010-03-11,22.4,17.5,20.07,4,0,,408345.4,415143.88,425295.96
Bankstown,2010-03-12,22.7,18.1,20.61,5,0,,406133.21,408345.4,428912.82
Bankstown,2010-03-13,23.2,14.4,18.68,6,0,,374122.15,406133.21,411225.94
Bankstown,2010-03-14,23.2,14.9,19.69,7,0,,364334.37,374122.15,390677.31
Bankstown,2010-03-15,25.8,15.5,20.71,1,0,,417399.93,364334.37,445518.45
Bankstown,2010-03-16,27.4,13.9,19.56,2,0,,424310.65,417399.93,431406.09
Bankstown,2010-03-17,26.9,12.2,18.92,3,0,,426102.33,424310.65,415143.88
Bankstown,2010-03-18,27.9,13.8,20.15,4,0,,429004.38,426102.33,408345.4
Bankstown,2010-03-19,30.7,14.3,20.73,5,0,,435891.6,429004.38,406133.21
Bankstown,2010-03-20,30.4,16.8,23.68,6,0,,408233.19,435891.6,374122.15
Bankstown,2010-03-21,34.7,16.7,25.35,7,0,,400682.48,408233.19,364334.37
Bankstown,2010-03-22,23.7,19.7,21.36,1,0,,429092.77,400682.48,417399.93
Bankstown,2010-03-23,29.2,15.8,21.84,2,0,,438302.26,429092.77,424310.65
Bankstown,2010-03-24,25.2,17.3,20.9,3,0,,430214.92,438302.26,426102.33
Bankstown,2010-03-25,26.5,16.3,22.04,4,0,,436647.26,430214.92,429004.38
Bankstown,2010-03-26,34.3,17.5,24.0,5,0,,452065.86,436647.26,435891.6
Bankstown,2010-03-27,26.5,21.7,23.76,6,0,,409802.8,452065.86,408233.19
Bankstown,2010-03-28,28.0,18.4,22.9,7,0,,399821.88,409802.8,400682.48
Bankstown,2010-03-29,27.4,21.1,23.32,1,0,,439968.98,399821.88,429092.77
Bankstown,2010-03-30,21.6,19.2,20.23,2,0,,431124.75,439968.98,438302.26
Bankstown,2010-03-31,22.2,17.3,19.3,3,0,,417797.86,431124.75,430214.92
Bankstown,2010-04-01,24.5,14.2,19.19,4,0,,408841.92,417797.86,436647.26
Bankstown,2010-04-02,22.7,16.4,19.56,5,1,Good Friday,355244.72,408841.92,452065.86
Bankstown,2010-04-03,22.3,14.3,17.38,6,1,Easter Saturday,359225.81,355244.72,409802.8
Bankstown,2010-04-04,20.7,14.2,17.03,7,0,,346132.95,359225.81,399821.88
Bankstown,2010-04-05,20.8,13.7,17.09,1,1,Easter Monday,357999.91,346132.95,439968.98
Bankstown,2010-04-06,23.5,14.9,19.41,2,0,,401697.56,357999.91,431124.75
Bankstown,2010-04-07,24.5,17.8,20.37,3,0,,410194.69,401697.56,417797.86
Bankstown,2010-04-08,27.5,16.6,21.79,4,0,,413431.49,410194.69,408841.92
Bankstown,2010-04-09,23.2,14.7,18.67,5,0,,405199.41,413431.49,355244.72
Bankstown,2010-04-10,27.3,14.7,19.95,6,0,,374223.39,405199.41,359225.81
Bankstown,2010-04-11,27.5,15.6,21.33,7,0,,360465.48,374223.39,346132.95
Bankstown,2010-04-12,23.2,13.4,17.52,1,0,,398690.26,360465.48,357999.91
Bankstown,2010-04-13,20.6,10.0,15.36,2,0,,409336.07,398690.26,401697.56
Bankstown,2010-04-14,24.8,9.3,16.52,3,0,,410723.3,409336.07,410194.69
Bankstown,2010-04-15,23.4,11.5,17.68,4,0,,412467.85,410723.3,413431.49
Bankstown,2010-04-16,21.4,14.0,17.61,5,0,,408926.93,412467.85,405199.41
Bankstown,2010-04-17,24.0,13.2,17.9,6,0,,378598.53,408926.93,374223.39
Bankstown,2010-04-18,24.7,14.0,18.53,7,0,,367242.32,378598.53,360465.48
Bankstown,2010-04-19,25.4,14.1,18.1,1,0,,416593.48,367242.32,398690.26
Bankstown,2010-04-20,25.6,13.9,18.48,2,0,,419638.35,416593.48,409336.07
Bankstown,2010-04-21,25.6,13.5,17.87,3,0,,416615.49,419638.35,410723.3
Bankstown,2010-04-22,28.3,13.2,18.7,4,0,,419082.14,416615.49,412467.85
Bankstown,2010-04-23,29.9,14.3,20.59,5,0,,415237.78,419082.14,408926.93
Bankstown,2010-04-24,28.1,16.3,21.58,6,0,,375583.13,415237.78,378598.53
Bankstown,2010-04-25,21.7,14.5,18.11,7,1,ANZAC Day,357208.96,375583.13,367242.32
Bankstown,2010-04-26,20.7,10.2,14.83,1,1,ANZAC Day (observed),361679.85,357208.96,416593.48
Bankstown,2010-04-27,19.6,8.1,13.79,2,0,,409513.94,361679.85,419638.35
Bankstown,2010-04-28,24.2,7.6,15.78,3,0,,411076.21,409513.94,416615.49
Bankstown,2010-04-29,24.6,8.1,16.14,4,0,,414176.57,411076.21,419082.14
Bankstown,2010-04-30,19.7,9.0,14.57,5,0,,420551.22,414176.57,415237.78
Bankstown,2010-05-01,21.6,11.8,15.78,6,0,,383277.7,420551.22,375583.13
Bankstown,2010-05-02,25.9,10.4,16.18,7,0,,369278.13,383277.7,357208.96
Bankstown,2010-05-03,22.9,11.2,15.9,1,0,,415113.86,369278.13,361679.85
Bankstown,2010-05-04,25.0,12.3,17.08,2,0,,418582.13,415113.86,409513.94
Bankstown,2010-05-05,20.4,11.0,15.15,3,0,,415120.09,418582.13,411076.21
Bankstown,2010-05-06,20.8,7.4,14.02,4,0,,422420.49,415120.09,414176.57
Bankstown,2010-05-07,22.4,6.8,14.08,5,0,,422341.76,422420.49,420551.22
Bankstown,2010-05-08,23.1,9.0,14.89,6,0,,390516.07,422341.76,383277.7
Bankstown,2010-05-09,24.4,10.1,16.0,7,0,,371043.78,390516.07,369278.13
Bankstown,2010-05-10,24.2,9.1,15.68,1,0,,413912.5,371043.78,415113.86
Bankstown,2010-05-11,25.9,8.0,15.55,2,0,,419854.09,413912.5,418582.13
Bankstown,2010-05-12,17.8,8.4,13.07,3,0,,432496.5,419854.09,415120.09
Bankstown,2010-05-13,20.6,5.7,13.32,4,0,,438251.58,432496.5,422420.49
Bankstown,2010-05-14,19.5,8.1,14.13,5,0,,435858.55,438251.58,422341.76
Bankstown,2010-05-15,20.4,8.0,14.12,6,0,,406317.25,435858.55,390516.07
Bankstown,2010-05-16,21.1,7.6,13.89,7,0,,394571.8,406317.25,371043.78
Bankstown,2010-05-17,18.2,11.2,13.79,1,0,,441518.82,394571.8,413912.5
Bankstown,2010-05-18,16.2,12.0,13.49,2,0,,451106.53,441518.82,419854.09
Bankstown,2010-05-19,18.7,11.1,13.37,3,0,,445179.14,451106.53,432496.5
Bankstown,2010-05-20,19.2,8.3,12.39,4,0,,444364.9,445179.14,438251.58
Bankstown,2010-05-21,19.0,10.0,14.49,5,0,,440915.98,444364.9,435858.55
Bankstown,2010-05-22,17.4,10.0,13.11,6,0,,417591.58,440915.98,406317.25
Bankstown,2010-05-23,15.1,8.6,11.43,7,0,,414580.3,417591.58,394571.8
Bankstown,2010-05-24,18.5,7.5,12.46,1,0,,448115.36,414580.3,441518.82
Bankstown,2010-05-25,16.2,11.5,14.16,2,0,,450198.46,448115.36,451106.53
Bankstown,2010-05-26,17.8,11.1,14.83,3,0,,453226.11,450198.46,445179.14
Bankstown,2010-05-27,18.3,11.5,15.82,4,0,,445150.78,453226.11,444364.9
Bankstown,2010-05-28,21.0,9.0,13.78,5,0,,439364.65,445150.78,440915.98
Bankstown,2010-05-29,16.6,12.1,14.89,6,0,,418494.56,439364.65,417591.58
Bankstown,2010-05-30,18.8,8.6,13.99,7,0,,402277.73,418494.56,414580.3
Bankstown,2010-05-31,18.9,11.1,15.44,1,0,,443135.39,402277.73,448115.36
Bankstown,2010-06-01,18.4,9.5,13.21,2,0,,448830.47,443135.39,450198.46
Bankstown,2010-06-02,18.6,8.6,13.7,3,0,,447732.92,448830.47,453226.11
Bankstown,2010-06-03,17.9,13.8,15.64,4,0,,447550.78,447732.92,445150.78
Bankstown,2010-06-04,18.3,13.9,16.19,5,0,,449732.86,447550.78,439364.65
Bankstown,2010-06-05,19.0,11.6,14.57,6,0,,418426.5,449732.86,418494.56
Bankstown,2010-06-06,17.7,8.6,12.69,7,0,,414995.48,418426.5,402277.73
Bankstown,2010-06-07,15.3,6.4,11.38,1,0,,460985.38,414995.48,443135.39
Bankstown,2010-06-08,17.8,7.3,11.34,2,0,,466213.22,460985.38,448830.47
Bankstown,2010-06-09,16.6,4.6,9.46,3,0,,471720.18,466213.22,447732.92
Bankstown,2010-06-10,16.0,5.5,11.45,4,0,,475191.33,471720.18,447550.78
Bankstown,2010-06-11,17.0,3.6,9.58,5,0,,479572.64,475191.33,449732.86
Bankstown,2010-06-12,15.5,5.0,10.32,6,0,,449101.32,479572.64,418426.5
Bankstown,2010-06-13,16.5,5.2,9.41,7,0,,434452.27,449101.32,414995.48
Bankstown,2010-06-14,18.0,3.0,7.74,1,1,Queen's Birthday,441780.67,434452.27,460985.38
Bankstown,2010-06-15,19.0,4.1,9.69,2,0,,478967.98,441780.67,466213.22
Bankstown,2010-06-16,19.6,5.0,11.25,3,0,,468546.51,478967.98,471720.18
Bankstown,2010-06-17,17.4,12.7,15.15,4,0,,470365.55,468546.51,475191.33
Bankstown,2010-06-18,17.3,5.1,11.28,5,0,,464538.67,470365.55,479572.64
Bankstown,2010-06-19,19.3,3.1,11.66,6,0,,436158.77,464538.67,449101.32
Bankstown,2010-06-20,18.8,4.6,10.78,7,0,,422157.78,436158.77,434452.27
Bankstown,2010-06-21,16.8,4.9,10.38,1,0,,470512.14,422157.78,441780.67
Bankstown,2010-06-22,17.0,10.6,13.39,2,0,,471896.41,470512.14,478967.98
Bankstown,2010-06-23,15.4,8.4,12.77,3,0,,468169.4,471896.41,468546.51
Bankstown,2010-06-24,18.0,9.7,12.82,4,0,,460321.29,468169.4,470365.55
Bankstown,2010-06-25,18.4,9.5,13.27,5,0,,451673.72,460321.29,464538.67
Bankstown,2010-06-26,19.0,9.1,14.22,6,0,,424848.7,451673.72,436158.77
Bankstown,2010-06-27,14.8,3.9,9.12,7,0,,438807.16,424848.7,422157.78
Bankstown,2010-06-28,15.4,2.7,7.4,1,0,,489608.85,438807.16,470512.14
Bankstown,2010-06-29,13.9,-0.3,4.94,2,0,,507854.2,489608.85,471896.41
Bankstown,2010-06-30,15.7,-0.5,6.68,3,0,,510489.32,507854.2,468169.4
Bankstown,2010-07-01,16.9,1.6,8.06,4,0,,503563.47,510489.32,460321.29
Bankstown,2010-07-02,12.1,3.2,8.5,5,0,,514509.12,503563.47,451673.72
Bankstown,2010-07-03,15.1,6.3,9.99,6,0,,463880.21,514509.12,424848.7
Bankstown,2010-07-04,16.9,6.5,11.32,7,0,,444069.68,463880.21,438807.16
Bankstown,2010-07-05,14.2,7.4,10.42,1,0,,487307.46,444069.68,489608.85
Bankstown,2010-07-06,16.8,8.3,11.89,2,0,,482096.72,487307.46,507854.2
Bankstown,2010-07-07,16.0,8.2,11.8,3,0,,488463.05,482096.72,510489.32
Bankstown,2010-07-08,15.2,6.3,11.45,4,0,,487287.61,488463.05,503563.47
Bankstown,2010-07-09,16.6,6.7,11.48,5,0,,474290.29,487287.61,514509.12
Bankstown,2010-07-10,17.3,4.6,11.0,6,0,,437416.31,474290.29,463880.21
Bankstown,2010-07-11,20.0,9.5,13.73,7,0,,413084.17,437416.31,444069.68
Bankstown,2010-07-12,16.9,6.3,10.88,1,0,,459561.97,413084.17,487307.46
Bankstown,2010-07-13,16.5,8.0,13.58,2,0,,456243.06,459561.97,482096.72
Bankstown,2010-07-14,18.3,12.2,15.55,3,0,,445971.93,456243.06,488463.05
Bankstown,2010-07-15,17.0,9.3,12.69,4,0,,462808.5,445971.93,487287.61
Bankstown,2010-07-16,16.1,5.1,9.76,5,0,,474114.08,462808.5,474290.29
Bankstown,2010-07-17,18.3,5.0,9.92,6,0,,440482.82,474114.08,437416.31
Bankstown,2010-07-18,19.0,2.8,9.37,7,0,,423680.75,440482.82,413084.17
Bankstown,2010-07-19,15.5,5.0,9.46,1,0,,480790.01,423680.75,459561.97
Bankstown,2010-07-20,16.2,5.7,10.41,2,0,,486064.39,480790.01,456243.06
Bankstown,2010-07-21,15.0,4.0,8.89,3,0,,494654.81,486064.39,445971.93
Bankstown,2010-07-22,14.8,5.1,9.64,4,0,,497251.77,494654.81,462808.5
Bankstown,2010-07-23,17.8,6.1,11.77,5,0,,478403.95,497251.77,474114.08
Bankstown,2010-07-24,17.1,7.8,11.52,6,0,,440787.09,478403.95,440482.82
Bankstown,2010-07-25,16.5,8.7,12.04,7,0,,426401.71,440787.09,423680.75
Bankstown,2010-07-26,15.9,8.1,11.39,1,0,,470677.15,426401.71,480790.01
Bankstown,2010-07-27,16.9,5.5,10.17,2,0,,475305.96,470677.15,486064.39
Bankstown,2010-07-28,14.7,9.8,12.43,3,0,,480707.04,475305.96,494654.81
Bankstown,2010-07-29,16.2,10.5,13.22,4,0,,467977.24,480707.04,497251.77
Bankstown,2010-07-30,20.9,11.5,15.7,5,0,,448068.53,467977.24,478403.95
Bankstown,2010-07-31,20.6,10.7,15.27,6,0,,410653.12,448068.53,440787.09
Bankstown,2010-08-01,20.3,4.8,12.62,7,0,,405388.18,410653.12,426401.71
Bankstown,2010-08-02,14.9,4.9,11.01,1,1,Bank Holiday,474212.91,405388.18,470677.15
Bankstown,2010-08-03,16.9,9.4,13.72,2,0,,477643.69,474212.91,475305.96
Bankstown,2010-08-04,18.1,6.5,11.32,3,0,,463918.62,477643.69,480707.04
Bankstown,2010-08-05,14.4,3.1,8.92,4,0,,471673.17,463918.62,467977.24
Bankstown,2010-08-06,15.9,3.9,10.08,5,0,,476312.64,471673.17,448068.53
Bankstown,2010-08-07,15.3,5.3,10.08,6,0,,445965.86,476312.64,410653.12
Bankstown,2010-08-08,17.4,4.0,9.27,7,0,,430551.67,445965.86,405388.18
Bankstown,2010-08-09,18.1,3.3,8.85,1,0,,466960.62,430551.67,474212.91
Bankstown,2010-08-10,13.7,6.7,10.6,2,0,,478203.53,466960.62,477643.69
Bankstown,2010-08-11,17.5,8.8,13.16,3,0,,460679.78,478203.53,463918.62
Bankstown,2010-08-12,16.4,10.3,13.81,4,0,,469950.85,460679.78,471673.17
Bankstown,2010-08-13,17.6,5.7,11.95,5,0,,457377.08,469950.85,476312.64
Bankstown,2010-08-14,20.6,4.5,11.88,6,0,,418805.29,457377.08,445965.86
Bankstown,2010-08-15,19.5,11.7,15.31,7,0,,397074.43,418805.29,430551.67
Bankstown,2010-08-16,18.3,8.8,13.98,1,0,,438989.58,397074.43,466960.62
Bankstown,2010-08-17,17.1,4.4,10.48,2,0,,461532.29,438989.58,478203.53
Bankstown,2010-08-18,18.9,2.8,11.8,3,0,,457236.68,461532.29,460679.78
Bankstown,2010-08-19,24.3,11.6,18.34,4,0,,424058.08,457236.68,469950.85
Bankstown,2010-08-20,18.4,5.3,12.45,5,0,,428403.61,424058.08,457377.08
Bankstown,2010-08-21,16.3,6.1,12.06,6,0,,414317.51,428403.61,418805.29
Bankstown,2010-08-22,17.6,5.1,11.97,7,0,,408966.05,414317.51,397074.43
Bankstown,2010-08-23,15.1,10.1,12.5,1,0,,459753.3,408966.05,438989.58
Bankstown,2010-08-24,19.1,7.5,14.04,2,0,,445009.62,459753.3,461532.29
Bankstown,2010-08-25,16.9,6.9,12.76,3,0,,446841.5,445009.62,457236.68
Bankstown,2010-08-26,16.6,9.2,12.9,4,0,,457181.93,446841.5,424058.08
Bankstown,2010-08-27,18.8,8.8,13.64,5,0,,449412.71,457181.93,428403.61
Bankstown,2010-08-28,15.8,5.0,10.93,6,0,,423027.03,449412.71,414317.51
Bankstown,2010-08-29,18.1,5.3,11.47,7,0,,406076.53,423027.03,408966.05
Bankstown,2010-08-30,17.7,7.3,13.07,1,0,,438034.88,406076.53,459753.3
Bankstown,2010-08-31,21.2,8.8,14.4,2,0,,434289.3,438034.88,445009.62
Bankstown,2010-09-01,25.1,9.9,17.13,3,0,,421534.34,434289.3,446841.5
Bankstown,2010-09-02,17.8,13.7,15.59,4,0,,427875.47,421534.34,457181.93
Bankstown,2010-09-03,16.9,13.0,14.53,5,0,,430566.82,427875.47,449412.71
Bankstown,2010-09-04,20.6,13.8,17.53,6,0,,397371.52,430566.82,423027.03
Bankstown,2010-09-05,20.6,13.4,17.88,7,0,,368426.12,397371.52,406076.53
Bankstown,2010-09-06,19.5,7.6,14.13,1,0,,421617.34,368426.12,438034.88
Bankstown,2010-09-07,15.7,6.1,11.64,2,0,,439970.18,421617.34,434289.3
Bankstown,2010-09-08,16.5,5.4,11.14,3,0,,434121.58,439970.18,421534.34
Bankstown,2010-09-09,18.4,6.2,12.51,4,0,,439932.81,434121.58,427875.47
Bankstown,2010-09-10,22.6,9.4,15.68,5,0,,426389.53,439932.81,430566.82
Bankstown,2010-09-11,18.8,6.1,12.96,6,0,,392885.31,426389.53,397371.52
Bankstown,2010-09-12,19.7,5.4,12.74,7,0,,379770.62,392885.31,368426.12
Bankstown,2010-09-13,23.3,11.5,16.82,1,0,,411423.05,379770.62,421617.34
Bankstown,2010-09-14,17.6,10.5,14.44,2,0,,430148.74,411423.05,439970.18
Bankstown,2010-09-15,21.8,10.9,15.31,3,0,,420801.1,430148.74,434121.58
Bankstown,2010-09-16,20.9,8.2,14.24,4,0,,419642.98,420801.1,439932.81
Bankstown,2010-09-17,19.4,7.8,12.81,5,0,,422325.94,419642.98,426389.53
Bankstown,2010-09-18,21.8,4.9,12.58,6,0,,388139.1,422325.94,392885.31
Bankstown,2010-09-19,18.2,7.5,13.0,7,0,,380058.72,388139.1,379770.62
Bankstown,2010-09-20,19.3,8.7,13.68,1,0,,422786.96,380058.72,411423.05
Bankstown,2010-09-21,22.4,8.7,14.82,2,0,,421196.69,422786.96,430148.74
Bankstown,2010-09-22,20.6,12.6,15.76,3,0,,414410.22,421196.69,420801.1
Bankstown,2010-09-23,18.2,12.6,15.74,4,0,,416823.31,414410.22,419642.98
Bankstown,2010-09-24,23.4,9.7,16.05,5,0,,410080.42,416823.31,422325.94
Bankstown,2010-09-25,25.5,10.0,16.38,6,0,,373817.26,410080.42,388139.1
Bankstown,2010-09-26,23.7,8.1,15.95,7,0,,358622.9,373817.26,380058.72
Bankstown,2010-09-27,27.0,9.4,18.58,1,0,,396034.96,358622.9,422786.96
Bankstown,2010-09-28,25.6,8.2,17.93,2,0,,400205.75,396034.96,421196.69
Bankstown,2010-09-29,16.5,9.3,13.08,3,0,,409239.24,400205.75,414410.22
Bankstown,2010-09-30,17.6,5.1,11.56,4,0,,417667.93,409239.24,416823.31
Bankstown,2010-10-01,18.0,6.2,13.25,5,0,,415816.12,417667.93,410080.42
Bankstown,2010-10-02,19.4,12.1,15.31,6,0,,377929.46,415816.12,373817.26
Bankstown,2010-10-03,19.4,14.1,16.13,7,0,,359890.55,377929.46,358622.9
Bankstown,2010-10-04,20.6,14.5,17.15,1,1,Labour Day,360217.2,359890.55,396034.96
Bankstown,2010-10-05,22.9,14.5,18.16,2,0,,403702.62,360217.2,400205.75
Bankstown,2010-10-06,21.9,14.6,17.33,3,0,,404755.38,403702.62,409239.24
Bankstown,2010-10-07,21.9,13.6,16.14,4,0,,403497.96,404755.38,417667.93
Bankstown,2010-10-08,19.5,11.1,15.98,5,0,,404605.69,403497.96,415816.12
Bankstown,2010-10-09,17.9,13.6,16.4,6,0,,376048.47,404605.69,377929.46
Bankstown,2010-10-10,20.2,13.4,16.58,7,0,,360975.41,376048.47,359890.55
Bankstown,2010-10-11,20.6,13.2,17.7,1,0,,404793.81,360975.41,360217.2
Bankstown,2010-10-12,21.9,15.2,18.18,2,0,,413037.28,404793.81,403702.62
Bankstown,2010-10-13,26.2,13.2,18.24,3,0,,411524.7,413037.28,404755.38
Bankstown,2010-10-14,26.7,17.7,21.57,4,0,,415300.56,411524.7,403497.96
Bankstown,2010-10-15,25.4,16.5,20.99,5,0,,408427.7,415300.56,404605.69
Bankstown,2010-10-16,16.8,10.7,13.48,6,0,,378338.98,408427.7,376048.47
Bankstown,2010-10-17,22.5,8.1,14.99,7,0,,363724.89,378338.98,360975.41
Bankstown,2010-10-18,23.8,9.3,16.68,1,0,,402786.51,363724.89,404793.81
Bankstown,2010-10-19,16.4,10.2,14.53,2,0,,414834.44,402786.51,413037.28
Bankstown,2010-10-20,20.6,9.7,15.6,3,0,,404128.51,414834.44,411524.7
Bankstown,2010-10-21,21.9,9.8,16.26,4,0,,406818.38,404128.51,415300.56
Bankstown,2010-10-22,23.7,11.5,18.32,5,0,,405014.06,406818.38,408427.7
Bankstown,2010-10-23,28.0,11.9,18.62,6,0,,373110.94,405014.06,378338.98
Bankstown,2010-10-24,16.2,13.0,14.03,7,0,,370331.8,373110.94,363724.89
Bankstown,2010-10-25,18.5,10.8,15.04,1,0,,405767.41,370331.8,402786.51
Bankstown,2010-10-26,25.0,7.9,16.35,2,0,,406429.36,405767.41,414834.44
Bankstown,2010-10-27,21.2,9.7,16.37,3,0,,406425.86,406429.36,404128.51
Bankstown,2010-10-28,19.3,12.9,16.65,4,0,,404061.12,406425.86,406818.38
Bankstown,2010-10-29,19.7,10.7,15.82,5,0,,402799.91,404061.12,405014.06
Bankstown,2010-10-30,25.4,12.4,19.04,6,0,,376364.28,402799.91,373110.94
Bankstown,2010-10-31,25.9,18.2,21.09,7,0,,362306.71,376364.28,370331.8
Bankstown,2010-11-01,20.0,14.3,16.88,1,0,,405241.04,362306.71,405767.41
Bankstown,2010-11-02,17.4,9.6,13.74,2,0,,400958.11,405241.04,406429.36
Bankstown,2010-11-03,22.5,7.9,14.49,3,0,,399870.69,400958.11,406425.86
Bankstown,2010-11-04,17.8,13.1,14.59,4,0,,402442.07,399870.69,404061.12
