"player_name","age","player_height","player_weight","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct","season"
"Slava Medvedenko",24,208.28,115.66596,58,4.4,2.4,0.3,-5.3,0.111,0.134,0.22,0.46,0.05,"2002-03"
"Smush Parker",22,193.04,81.64656,66,6.2,1.8,2.5,-9.6,0.029,0.095,0.202,0.523,0.239,"2002-03"
"Speedy Claxton",25,180.34,75.296272,30,5.8,1.9,2.5,1.7,0.055,0.086,0.203,0.509,0.292,"2002-03"
"Stacey Augmon",34,203.2,96.615096,70,3,1.7,1,5.4,0.035,0.126,0.14,0.474,0.125,"2002-03"
"Stephen Jackson",25,203.2,99.79024,80,11.8,3.6,2.3,5.2,0.036,0.11,0.22,0.526,0.136,"2002-03"
"Shane Battier",24,203.2,99.79024,78,9.7,4.4,1.3,-2.2,0.059,0.098,0.131,0.597,0.067,"2002-03"
"Ryan Bowen",27,205.74,99.79024,62,3.6,2.5,0.9,-3.8,0.086,0.098,0.116,0.519,0.09,"2002-03"
"Ruben Patterson",27,195.58,101.604608,78,8.3,3.4,1.3,4,0.088,0.104,0.204,0.53,0.103,"2002-03"
"Rashard Lewis",23,208.28,97.52228,77,18.1,6.5,1.7,-1.6,0.058,0.14,0.223,0.537,0.078,"2002-03"
"Rasheed Wallace",28,210.82,104.32616,74,18.1,7.4,2.1,5.7,0.051,0.194,0.233,0.552,0.101,"2002-03"
"Rasho Nesterovic",27,213.36,112.490816,77,11.2,6.5,1.5,2.3,0.073,0.169,0.176,0.536,0.074,"2002-03"
"Rasual Butler",24,200.66,92.98636,72,7.5,2.6,1.3,-8,0.021,0.118,0.215,0.437,0.116,"2002-03"
"Ray Allen",27,195.58,92.98636,76,22.5,5,4.4,2.6,0.039,0.118,0.28,0.565,0.217,"2002-03"
"Reggie Evans",23,203.2,111.13004,67,3.2,6.6,0.5,-0.4,0.141,0.252,0.089,0.51,0.037,"2002-03"
"Reggie Miller",37,200.66,88.45044,70,12.6,2.5,2.4,3.7,0.011,0.079,0.17,0.597,0.135,"2002-03"
"Richard Hamilton",25,200.66,87.543256,82,19.7,3.9,2.5,3.2,0.04,0.105,0.314,0.531,0.171,"2002-03"
"Richard Jefferson",23,200.66,100.697424,80,15.5,6.4,2.5,6.4,0.06,0.143,0.197,0.563,0.119,"2002-03"
"Rick Fox",33,200.66,106.59412,76,9,4.3,3.3,2.8,0.032,0.131,0.157,0.523,0.171,"2002-03"
"Ricky Davis",23,200.66,89.357624,79,20.6,4.9,5.5,-10.3,0.034,0.106,0.269,0.485,0.258,"2002-03"
"Robert Horry",32,208.28,107.954896,80,6.5,6.4,2.9,4.4,0.088,0.163,0.123,0.488,0.148,"2002-03"
"Robert Traylor",26,203.2,128.820128,69,3.9,3.8,0.7,0.3,0.138,0.216,0.17,0.486,0.096,"2002-03"
"Rod Strickland",36,190.5,83.91452,47,6.8,2,4.6,2.5,0.025,0.09,0.191,0.492,0.351,"2002-03"
"Rodney Rogers",32,200.66,115.66596,68,7,3.9,1.6,2.7,0.052,0.171,0.203,0.483,0.146,"2002-03"
"Rodney White",23,205.74,104.32616,72,9,3,1.7,-11.3,0.03,0.127,0.24,0.469,0.156,"2002-03"
"Ron Mercer",27,200.66,95.25432,72,7.7,2.1,1.6,2,0.023,0.081,0.189,0.439,0.117,"2002-03"
"Stephon Marbury",26,187.96,92.98636,81,22.3,3.2,8.1,1.5,0.018,0.074,0.274,0.52,0.357,"2002-03"
"Steve Francis",26,190.5,88.45044,81,21,6.2,6.2,2.4,0.057,0.115,0.259,0.541,0.278,"2002-03"
"Steve Nash",29,190.5,88.45044,82,17.8,2.9,7.3,10.3,0.026,0.07,0.242,0.576,0.351,"2002-03"
"Steven Hunter",21,213.36,99.79024,33,3.9,2.8,0.2,3.1,0.097,0.125,0.139,0.531,0.022,"2002-03"
"Tyrone Hill",35,205.74,113.398,56,5.6,7,0.7,-7.3,0.102,0.24,0.133,0.457,0.049,"2002-03"
"Tyronn Lue",26,182.88,80.739376,75,8.6,2,3.5,-0.9,0.013,0.077,0.167,0.523,0.223,"2002-03"
"Tyson Chandler",20,215.9,106.59412,75,9.2,6.9,1,-8.6,0.105,0.203,0.182,0.565,0.068,"2002-03"
"Vin Baker",31,210.82,113.398,52,5.2,3.8,0.6,-2.2,0.108,0.138,0.154,0.531,0.053,"2002-03"
"Vince Carter",26,198.12,102.0582,43,20.6,4.4,3.3,-1.2,0.045,0.101,0.279,0.532,0.181,"2002-03"
"Vincent Yarbrough",22,200.66,95.25432,59,6.9,2.7,2.2,-7.6,0.029,0.115,0.174,0.446,0.16,"2002-03"
"Vlade Divac",35,215.9,117.93392,80,9.9,7.2,3.4,9.5,0.076,0.178,0.171,0.519,0.16,"2002-03"
"Vladimir Radmanovic",22,208.28,106.140528,72,10.1,4.5,1.3,4.7,0.046,0.151,0.199,0.508,0.086,"2002-03"
"Vladimir Stepania",27,215.9,115.66596,79,5.6,7,0.3,-6.3,0.145,0.254,0.164,0.454,0.03,"2002-03"
"Voshon Lenard",30,193.04,92.98636,63,14.3,3.4,2.3,-9,0.027,0.1,0.234,0.502,0.138,"2002-03"
"Wally Szczerbiak",26,200.66,110.676448,52,17.6,4.6,2.6,4.2,0.035,0.112,0.221,0.567,0.116,"2002-03"
"Walt Williams",33,203.2,104.32616,66,5.5,3.1,0.9,4.1,0.049,0.144,0.155,0.5,0.077,"2002-03"
"Walter McCarty",29,208.28,104.32616,82,6.1,3.5,1.3,-0.3,0.036,0.133,0.127,0.54,0.095,"2002-03"
"Wang Zhi-zhi",25,215.9,124.7378,41,4.4,1.9,0.2,-3.5,0.075,0.147,0.239,0.485,0.041,"2002-03"
"Wesley Person",32,198.12,90.7184,66,11,2.9,1.7,-1.2,0.014,0.095,0.163,0.565,0.089,"2002-03"
"Yao Ming",22,226.06,134.263232,82,13.5,8.2,1.7,2.2,0.099,0.223,0.222,0.57,0.104,"2002-03"
"Zach Randolph",21,205.74,114.758776,77,8.4,4.5,0.5,-4,0.124,0.196,0.228,0.555,0.058,"2002-03"
"Zeljko Rebraca",31,213.36,116.573144,30,6.6,3.1,0.3,5.5,0.073,0.164,0.199,0.596,0.036,"2002-03"
"Zydrunas Ilgauskas",28,220.98,117.93392,81,17.2,7.5,1.6,-7.9,0.108,0.172,0.279,0.516,0.101,"2002-03"
"Aaron McKie",30,195.58,94.800728,80,9,4.4,3.5,3.9,0.03,0.143,0.158,0.497,0.185,"2002-03"
"Jonathan Bender",22,213.36,99.336648,46,6.6,2.9,0.9,-1,0.057,0.122,0.183,0.521,0.089,"2002-03"
"Troy Murphy",23,210.82,111.13004,79,11.7,10.2,1.3,-2.7,0.097,0.24,0.166,0.526,0.066,"2002-03"
"Troy Hudson",27,185.42,77.11064,79,14.2,2.3,5.7,2.7,0.018,0.059,0.213,0.531,0.261,"2002-03"
"Tremaine Fowlkes",27,203.2,99.79024,37,4.4,2.8,0.6,9.2,0.086,0.128,0.137,0.533,0.06,"2002-03"
"Steven Smith",34,203.2,100.243832,53,6.8,1.9,1.3,1.9,0.024,0.081,0.173,0.528,0.114,"2002-03"
"Stromile Swift",23,205.74,102.0582,67,9.7,5.7,0.7,-2.5,0.092,0.197,0.214,0.542,0.051,"2002-03"
"Tamar Slay",23,203.2,97.52228,36,2.6,0.9,0.4,-0.8,0.033,0.101,0.213,0.428,0.086,"2002-03"
"Tayshaun Prince",23,205.74,97.52228,42,3.3,1.1,0.6,-3.8,0.013,0.108,0.164,0.546,0.104,"2002-03"
"Terence Morris",24,205.74,100.243832,49,3.7,2.6,0.5,-4.3,0.074,0.157,0.154,0.5,0.068,"2002-03"
"Theo Ratliff",30,208.28,104.32616,81,8.7,7.5,0.9,-0.7,0.075,0.193,0.153,0.512,0.047,"2002-03"
"Tim Duncan",27,213.36,117.93392,81,23.3,12.9,3.9,9.1,0.1,0.268,0.279,0.564,0.191,"2002-03"
"Tim Thomas",26,208.28,108.86208,80,13.3,4.9,1.3,-0.4,0.048,0.143,0.225,0.527,0.071,"2002-03"
"Todd MacCulloch",27,213.36,115.66596,42,7.1,4.7,0.5,-4.4,0.094,0.185,0.172,0.548,0.04,"2002-03"
"Toni Kukoc",34,210.82,106.59412,63,11.6,4.2,3.7,7.9,0.046,0.138,0.214,0.551,0.225,"2002-03"
"Tony Battie",27,210.82,108.86208,67,7.3,6.5,0.7,5.4,0.097,0.19,0.13,0.578,0.049,"2002-03"
"Tony Delk",29,187.96,85.728888,67,9.8,3.5,2.2,-0.7,0.024,0.117,0.165,0.547,0.141,"2002-03"
"Tony Massenburg",35,205.74,113.398,58,4.7,2.7,0.3,-5,0.095,0.154,0.189,0.508,0.037,"2002-03"
"Tony Parker",21,187.96,81.64656,82,15.5,2.6,5.3,8.9,0.015,0.071,0.228,0.542,0.268,"2002-03"
"Tracy McGrady",24,203.2,95.25432,75,32.1,6.5,5.5,3.5,0.046,0.147,0.35,0.564,0.282,"2002-03"
"Tracy Murray",31,200.66,103.418976,31,2,0.7,0.4,-15.9,0.029,0.114,0.199,0.407,0.103,"2002-03"
"Travis Best",30,180.34,83.460928,72,8.4,2,3.5,-7.4,0.016,0.08,0.193,0.473,0.253,"2002-03"
"Travis Knight",28,213.36,106.59412,32,1.9,1.9,0.4,-3.4,0.069,0.18,0.127,0.424,0.08,"2002-03"
"Trenton Hassell",24,195.58,90.7184,82,4.2,3.1,1.8,-10.2,0.02,0.117,0.112,0.411,0.118,"2002-03"
"Randy Brown",35,187.96,86.18248,32,1.3,0.8,1.1,-1.2,0.014,0.107,0.118,0.425,0.216,"2002-03"
"Steve Kerr",37,185.42,81.64656,75,4,0.8,0.9,1.7,0.015,0.056,0.148,0.552,0.128,"2002-03"
"Rafer Alston",26,187.96,79.3786,47,7.8,2.3,4.1,-7.4,0.024,0.099,0.206,0.51,0.348,"2002-03"
"LaPhonso Ellis",33,203.2,108.86208,55,5,2.9,0.3,0.8,0.065,0.165,0.195,0.476,0.036,"2002-03"
"Larry Hughes",24,195.58,83.460928,67,12.8,4.6,3.1,-0.9,0.037,0.132,0.209,0.521,0.174,"2002-03"
"Latrell Sprewell",32,195.58,88.45044,74,16.4,3.9,4.5,-2.8,0.018,0.101,0.227,0.497,0.196,"2002-03"
"Lee Nailon",28,205.74,107.954896,38,5.5,1.8,0.7,-5.6,0.091,0.12,0.272,0.494,0.123,"2002-03"
"Lonny Baxter",24,203.2,117.93392,55,4.8,3,0.3,-4,0.103,0.159,0.189,0.521,0.04,"2002-03"
"Loren Woods",25,215.9,111.583632,38,2.1,2.5,0.5,0.9,0.087,0.191,0.141,0.455,0.078,"2002-03"
"Lorenzen Wright",27,210.82,108.86208,70,11.4,7.5,1.1,-5.5,0.095,0.207,0.21,0.489,0.069,"2002-03"
"Lucious Harris",32,195.58,92.98636,77,10.3,3,2,2.8,0.036,0.099,0.2,0.494,0.139,"2002-03"
"Malik Allen",25,208.28,115.66596,80,9.6,5.3,0.7,-8.3,0.065,0.151,0.198,0.455,0.042,"2002-03"
"Malik Rose",28,200.66,115.66596,79,10.4,6.4,1.6,6.3,0.095,0.21,0.223,0.538,0.112,"2002-03"
"Manu Ginobili",25,198.12,95.25432,69,7.6,2.3,2,6.8,0.039,0.091,0.182,0.556,0.163,"2002-03"
"Marc Jackson",28,208.28,122.46984,77,5.5,2.9,0.5,2.9,0.099,0.151,0.209,0.508,0.058,"2002-03"
"Marcus Fizer",24,203.2,117.93392,38,11.7,5.7,1.3,-4,0.107,0.186,0.276,0.503,0.118,"2002-03"
"Marcus Haislip",22,208.28,104.32616,39,4.1,1.4,0.2,-3.8,0.054,0.087,0.199,0.474,0.036,"2002-03"
"Mark Blount",27,213.36,113.398,81,5,3.8,0.7,-11.4,0.089,0.167,0.166,0.491,0.074,"2002-03"
"Mark Jackson",38,190.5,88.45044,82,4.7,2.1,4.6,-0.4,0.029,0.11,0.176,0.473,0.437,"2002-03"
"Kwame Brown",21,210.82,112.490816,80,7.4,5.3,0.7,-2.6,0.085,0.197,0.189,0.496,0.057,"2002-03"
"Mark Madsen",27,205.74,111.13004,54,3.2,2.9,0.7,0.6,0.118,0.111,0.12,0.458,0.067,"2002-03"
"Kurt Thomas",30,205.74,106.59412,81,14,7.9,2,-1.1,0.071,0.224,0.224,0.511,0.11,"2002-03"
"Juaquin Hawkins",29,200.66,92.98636,58,2.3,1.3,0.8,2,0.03,0.099,0.128,0.427,0.107,"2002-03"
"Juan Dixon",24,190.5,74.389088,42,6.4,1.7,1,-2.4,0.024,0.108,0.238,0.464,0.118,"2002-03"
"Raja Bell",26,195.58,92.98636,75,3.1,1.9,0.8,4.3,0.043,0.093,0.105,0.509,0.071,"2002-03"
"Jumaine Jones",24,203.2,98.883056,80,9.8,5.1,1.4,-9.8,0.054,0.156,0.169,0.525,0.089,"2002-03"
"Junior Harrington",22,193.04,86.18248,82,5.1,3,3.4,-8.8,0.025,0.129,0.152,0.405,0.234,"2002-03"
"Juwan Howard",30,205.74,117.93392,77,18.4,7.6,3,-11.2,0.073,0.187,0.262,0.501,0.175,"2002-03"
"Kareem Rush",22,198.12,97.52228,76,3,1.2,0.9,-3.5,0.033,0.088,0.162,0.447,0.119,"2002-03"
"Karl Malone",39,205.74,116.119552,81,20.6,7.8,4.7,3,0.049,0.203,0.276,0.534,0.236,"2002-03"
"Kedrick Brown",22,200.66,100.697424,51,2.8,2.7,0.4,-3.9,0.072,0.162,0.147,0.392,0.052,"2002-03"
"Keith Van Horn",27,208.28,115.66596,74,15.9,7.1,1.3,1.9,0.079,0.188,0.232,0.556,0.068,"2002-03"
"Kelvin Cato",28,210.82,124.7378,73,4.5,5.9,0.3,0.1,0.122,0.272,0.134,0.535,0.027,"2002-03"
"Kendall Gill",35,195.58,97.52228,82,8.7,3,1.9,0.7,0.028,0.108,0.187,0.477,0.12,"2002-03"
"Kenny Anderson",32,185.42,76.203456,61,6.1,2.2,3.2,-2.3,0.031,0.106,0.195,0.457,0.3,"2002-03"
